id,text_original,author_display_name,author_channel_id,like_count,published_at,updated_at,total_reply_count,is_public
UgyOA-bIUaOrFeOjKhx4AaABAg,"When America was sole super power.
Many wars happened.
I hope
If  china becomes sole super powerful
I hope, Everything will be fine",Yaseen Mohammed,UCzpAxbYpvQ-NE0p0-TfZBxA,5,2021-04-14T13:56:14Z,2021-04-14T13:56:14Z,8,True
Ugw2A_nhbYpBQyxiF-V4AaABAg,"Welp i guess in the future we will be truly replaced by robot, not a bad thing, that would probably force lazy students like me to work hard and get a job that wouldn’t get replaced by robots anytime soon.",SadnessDarkMood,UCqM5yom77Txa9ssi3efQCqQ,6,2021-04-14T13:55:30Z,2021-04-14T13:55:30Z,0,True
Ugzr1MEc5o5XuRNbdzZ4AaABAg,There goes more jobs,Jayswal Vansh,UC1whExOdEhLTn8fv8xAzg_w,3,2021-04-14T13:55:12Z,2021-04-14T13:55:12Z,0,True
UgydZDqoDbj-uwQhI-F4AaABAg,Early!,ProTr Brawl stars,UCMWKG6nDOM6AppzAnwuHRmQ,0,2021-04-14T13:54:40Z,2021-04-14T13:54:40Z,0,True
Ugy6BxNdj_kQsepAT854AaABAg,I still prefer real coaches though most of them smoke a lot....,keke,UCIREk-3AzwLKfHndDNQlZSg,0,2021-04-14T13:54:33Z,2021-04-14T13:54:33Z,0,True
UgxswFJRRzMm9BA8q9t4AaABAg,I think I choose walking,Mihailo Raonic,UC7njqWXcRAHRKMSnsgB5kPQ,0,2021-04-14T13:52:10Z,2021-04-14T13:52:10Z,0,True
UgzBpY1PcCV8zatKVaN4AaABAg,"I remember learning how to drive the hard way with a manual transmission car and when i got my 1st ever matic, man walking is way way easier hahahahaha",potatomato :p,UCsXijYpRRcZhYkbfObJanfw,7,2021-04-14T13:50:18Z,2021-04-14T13:50:18Z,1,True
Ugy0Gt9273AdiayQ73t4AaABAg,Too early,SMIHJB NUR EIMAN IFFAH HURIYYAH BINTI MD. YUSMAN,UCBbbkQiM1hHEL4h6COrRy6w,0,2021-04-14T13:49:40Z,2021-04-14T13:49:40Z,0,True
Ugz-Q_J-5L2nfy01cP54AaABAg,https://youtu.be/3KK2wPIwBSE🇧🇻🇧🇻,RF Vlog92,UC6lN7-M0PQMpy-14go9Za4Q,0,2021-04-14T13:49:28Z,2021-04-14T13:49:28Z,0,True
UgxUTT4Rl7IDxmahMRl4AaABAg,First 😁,Lea Siliva,UCEQK8CboXDPCRw_2oFFTEjg,4,2021-04-14T13:48:33Z,2021-04-14T13:48:33Z,0,True
UgyMmbbETyXaTqhlvDl4AaABAg,Can you change the voice settings of your AI instructor? Like from angry short-fused man who yells at you for every mistake made to obnoxious woman who meticulously criticize your every move?,064678543,UC5HdtkYyKrCSKqG5xp765AQ,0,2021-04-14T18:12:18Z,2021-04-14T18:12:18Z,0,True
